center_x,center_y,Thumb_status,Index_status,Middle_status,Ring_status,Pinky_status,DistanceThumbIndex,DistanceThumbMiddle,DistanceThumbRing,DistanceThumbPinky,DistanceIndexMiddle,DistanceIndexRing,DistanceIndexPinky,DistanceMiddleRing,DistanceMiddlePinky,DistanceRingPinky,Gesture_type
335,176,0,1,0,0,0,61.6116872029975,29.1547594742265,47.169905660283,49.0917508345343,85.0058821494136,100.603180864225,101.833196944808,18.0277563773199,20,2.23606797749979,volume
347,181,0,1,0,0,0,130.545011394538,62.5859409132754,73.4370478709486,82.0548596976438,107.670794554512,115.520560940466,122.527547922906,13.4164078649987,23.7065391822594,10.295630140987,volume
333,198,0,1,0,0,0,21.9317121994613,29.5296461204668,47.0106370941726,51.1077293567226,46.2709412050371,62.5859409132754,66.2193325245732,17.4928556845359,21.6333076527839,4.24264068711929,volume
350,183,0,1,0,0,0,111.6154111223,60.0166643524946,68.0294054067798,76.1051903617618,93.38094023943,104.048065815757,111.973211081937,12.7279220613579,22.6715680975093,10,volume
344,188,0,1,0,0,0,102.786185842262,61.0327780786685,72.1734023030645,80.3990049689671,100.578327685441,110.860272415325,116.777566338745,13.0384048104053,21.4709105535839,8.54400374531753,volume
333,185,0,1,0,0,0,46.2385120867876,35.1140997321589,49.1934955049954,54.7083174663597,81.344944526381,95.3414914924242,100.623058987491,14.8660687473185,21.2602916254693,6.70820393249937,volume
343,196,0,1,0,0,0,78.2623792124926,59.0762219509677,71.8470597867442,80.0624756049924,91.7877987534291,104.847508315649,111.018016555873,14.422205101856,22.3606797749979,8.24621125123532,volume
346,193,0,1,0,0,0,72.691127381545,58.0344725141876,67.3646791723972,74.5452882481515,84.8763806956918,97.4166310236604,103.232746742495,12.7279220613579,19.4164878389476,7.28010988928052,volume
337,205,0,1,0,0,0,57.5586657246326,66.6108099335236,76.4852927038918,84.3445315358382,87.8635305459552,98.351410767716,103.966340706981,10.816653826392,18.0277563773199,8,volume
326,214,0,0,0,0,0,46.2709412050371,67.6017751246223,77.6659513557904,84.3445315358382,82.8794304999739,94.2602779541839,99.0201999594022,11.4017542509914,17.0880074906351,7.07106781186548,volume
314,217,0,0,0,0,0,35.3553390593274,67.9117073853986,79.4040301244213,84.2021377400835,79.5110055275369,91.6787870774914,95.603347221737,12.2065556157337,16.5529453572469,5,volume
312,202,0,0,0,0,0,35.2278299076171,61,71.3091859440283,75.9275970909129,72.4706837279738,83.868945385047,87.2009174263666,11.4017542509914,15.2315462117278,5.09901951359278,volume
